customer_id,name,age,country,income
CUST0000001,Mary Johnson,43,UAE,96844.71
CUST0000002,Aisha Musa,29,Canada,172115.81
CUST0000003,John Smith,57,Nigeria,87400.21
CUST0000004,Carlos Diaz,73,Canada,23556.68
CUST0000005,John Smith,31,Canada,80004.81
CUST0000006,John Smith,29,UK,129771.73
CUST0000007,John Smith,30,Canada,26073.26
CUST0000008,Wei Zhang,49,UK,179304.7
CUST0000009,Carlos Diaz,27,UAE,106911.02
CUST0000010,Ahmed Bello,31,Canada,10125.67
CUST0000011,Aisha Musa,35,Canada,150832.64
CUST0000012,Mary Johnson,31,UK,101047.18
CUST0000013,Ahmed Bello,45,UAE,168261.81
CUST0000014,John Smith,59,UK,19962.23
CUST0000015,David Brown,48,UAE,161626.61
CUST0000016,Aisha Musa,41,Nigeria,56396.48
CUST0000017,Carlos Diaz,59,UAE,27144.96
CUST0000018,Fatima Ali,54,USA,161918.83
CUST0000019,Fatima Ali,49,UAE,75822.3
CUST0000020,Mary Johnson,73,Canada,39071.15
CUST0000021,Fatima Ali,54,USA,101878.27
CUST0000022,David Brown,18,UAE,76194.99
CUST0000023,Ahmed Bello,36,USA,59581.09
CUST0000024,John Smith,32,UK,64254.73
CUST0000025,David Brown,27,Nigeria,125275.19
CUST0000026,Carlos Diaz,49,Nigeria,132462.34
CUST0000027,David Brown,50,USA,94071.56
CUST0000028,Carlos Diaz,44,Nigeria,128606.13
CUST0000029,Wei Zhang,58,UK,42515.7
CUST0000030,Carlos Diaz,71,Nigeria,152646.65
CUST0000031,Aisha Musa,57,Canada,149510.79
CUST0000032,Carlos Diaz,72,USA,91025.65
CUST0000033,John Smith,41,Nigeria,2886.92
CUST0000034,Mary Johnson,36,Nigeria,73128.37
CUST0000035,Fatima Ali,46,USA,177157.81
CUST0000036,David Brown,43,USA,157472.09
CUST0000037,Fatima Ali,35,Nigeria,112524.04
CUST0000038,Ahmed Bello,60,UK,4030.27
CUST0000039,David Brown,25,Nigeria,195773.72
CUST0000040,Ahmed Bello,38,UAE,114423.56
CUST0000041,John Smith,26,UK,182160.17
CUST0000042,Carlos Diaz,67,Canada,14633.37
CUST0000043,Ahmed Bello,74,USA,23844.3
CUST0000044,John Smith,36,USA,86698.49
CUST0000045,Fatima Ali,43,Canada,129548.26
CUST0000046,Fatima Ali,19,UK,199216.7
CUST0000047,John Smith,27,Canada,23707.6
CUST0000048,Ahmed Bello,45,USA,126535.24
CUST0000049,Wei Zhang,49,UK,115069.36
CUST0000050,John Smith,58,Canada,170374.32
CUST0000051,John Smith,68,UK,160353.92
CUST0000052,Wei Zhang,37,USA,69999.56
CUST0000053,Mary Johnson,54,UK,157726.47
CUST0000054,Carlos Diaz,25,Canada,80229.41
CUST0000055,John Smith,32,USA,161483.49
CUST0000056,Ahmed Bello,58,UAE,158184.98
CUST0000057,Aisha Musa,46,UK,35395.94
CUST0000058,David Brown,69,Nigeria,123402.18
CUST0000059,Carlos Diaz,22,Canada,59603.89
CUST0000060,Ahmed Bello,21,Canada,82702.89
CUST0000061,Carlos Diaz,65,UAE,67708.74
CUST0000062,Mary Johnson,20,USA,1395.78
CUST0000063,John Smith,32,UAE,127225.88
CUST0000064,Fatima Ali,74,USA,53969.34
CUST0000065,John Smith,47,USA,67853.19
CUST0000066,Fatima Ali,60,UK,136065.93
CUST0000067,Fatima Ali,50,USA,25739.27
CUST0000068,Wei Zhang,54,UAE,39836.08
CUST0000069,Mary Johnson,72,UAE,32451.98
CUST0000070,David Brown,55,USA,165626.78
CUST0000071,Wei Zhang,58,UK,64420.55
CUST0000072,Carlos Diaz,29,USA,103907.93
CUST0000073,Carlos Diaz,35,Nigeria,151827.58
CUST0000074,David Brown,44,USA,33440.8
CUST0000075,David Brown,32,Nigeria,167102.79
CUST0000076,Carlos Diaz,27,UAE,67138.64
CUST0000077,David Brown,61,USA,100706.34
CUST0000078,Mary Johnson,47,UK,199713.43
CUST0000079,John Smith,60,UK,58592.74
CUST0000080,Ahmed Bello,44,Nigeria,110782.97
CUST0000081,Ahmed Bello,60,Nigeria,14986.98
CUST0000082,Ahmed Bello,47,USA,103338.38
CUST0000083,John Smith,20,Canada,30078.1
CUST0000084,John Smith,20,Canada,20655.75
CUST0000085,Aisha Musa,18,USA,60312.06
CUST0000086,Mary Johnson,58,USA,62652.65
CUST0000087,Aisha Musa,30,UK,36545.27
CUST0000088,Fatima Ali,24,UAE,158370.23
CUST0000089,David Brown,28,Canada,20134.53
CUST0000090,Ahmed Bello,70,UK,167776.86
CUST0000091,Mary Johnson,74,Nigeria,122852.21
CUST0000092,Aisha Musa,63,UAE,59162.92
CUST0000093,Mary Johnson,34,USA,153130.15
CUST0000094,John Smith,23,Canada,179848.16
CUST0000095,Ahmed Bello,21,Canada,34988.46
CUST0000096,Ahmed Bello,52,UK,80333.7
CUST0000097,Aisha Musa,68,UK,21918.1
CUST0000098,David Brown,59,Canada,98240.64
CUST0000099,John Smith,29,UAE,132660.33
CUST0000100,Mary Johnson,18,Nigeria,105368.03
CUST0000101,David Brown,29,Nigeria,68697.55
CUST0000102,Wei Zhang,31,Canada,74695.49
CUST0000103,John Smith,37,UK,93881.27
CUST0000104,Mary Johnson,53,Canada,60173.68
CUST0000105,Carlos Diaz,68,Canada,46855.66
CUST0000106,David Brown,44,Canada,58776.97
CUST0000107,Aisha Musa,69,UK,8319.33
CUST0000108,Aisha Musa,62,UK,4438.86
CUST0000109,Fatima Ali,27,Nigeria,90208.08
CUST0000110,Wei Zhang,22,Canada,120473.46
CUST0000111,Ahmed Bello,64,UAE,47613.22
CUST0000112,Aisha Musa,73,USA,26105.75
CUST0000113,Fatima Ali,71,USA,85194.7
CUST0000114,David Brown,60,Nigeria,64820.56
CUST0000115,John Smith,63,Canada,40942.27
CUST0000116,Carlos Diaz,55,UAE,42444.99
CUST0000117,Ahmed Bello,64,USA,28650.7
