account_id,customer_id,bank_name,account_type,balance,open_date
ACC0000001,CUST0002534,First Bank Nigeria,Credit,158094.46,2024-02-04
ACC0000002,CUST0000820,First Bank Nigeria,Credit,425003.03,2021-05-26
ACC0000003,CUST0001474,Standard Chartered,Credit,38574.04,2019-04-12
ACC0000004,CUST0000949,Barclays,Credit,405336.68,2020-10-31
ACC0000005,CUST0002023,Citibank,Current,367878.3,2024-02-22
ACC0000006,CUST0001073,Standard Chartered,Credit,180083.45,2019-11-14
ACC0000007,CUST0002829,Standard Chartered,Credit,65298.38,2020-05-31
ACC0000008,CUST0001673,HSBC,Credit,451927.09,2022-10-13
ACC0000009,CUST0002502,Citibank,Savings,263139.49,2019-04-30
ACC0000010,CUST0000994,JPMorgan Chase,Savings,346443.15,2019-12-01
ACC0000011,CUST0001485,Barclays,Credit,458864.36,2023-12-08
ACC0000012,CUST0000979,Standard Chartered,Current,126067.94,2024-09-14
ACC0000013,CUST0002135,First Bank Nigeria,Savings,177909.0,2018-06-19
ACC0000014,CUST0001858,JPMorgan Chase,Credit,149921.91,2021-05-21
ACC0000015,CUST0002257,First Bank Nigeria,Current,499234.37,2018-02-13
ACC0000016,CUST0000876,Access Bank,Savings,228825.45,2019-04-01
ACC0000017,CUST0000429,Access Bank,Savings,375065.87,2021-04-07
ACC0000018,CUST0000026,HSBC,Credit,203998.22,2019-01-08
ACC0000019,CUST0002373,JPMorgan Chase,Savings,284770.28,2024-08-15
ACC0000020,CUST0001896,First Bank Nigeria,Savings,104802.16,2020-10-04
ACC0000021,CUST0002598,Access Bank,Savings,18526.15,2018-09-25
ACC0000022,CUST0001193,Barclays,Current,330193.88,2024-01-04
ACC0000023,CUST0000164,HSBC,Savings,202074.58,2022-08-26
ACC0000024,CUST0002294,Citibank,Savings,3832.15,2018-05-10
ACC0000025,CUST0000565,HSBC,Current,237709.43,2021-09-17
ACC0000026,CUST0002097,Barclays,Current,119839.24,2019-11-05
ACC0000027,CUST0001537,First Bank Nigeria,Current,208004.99,2022-01-03
ACC0000028,CUST0002976,JPMorgan Chase,Savings,380392.84,2021-08-14
ACC0000029,CUST0001756,First Bank Nigeria,Credit,222048.17,2018-06-30
ACC0000030,CUST0002925,Barclays,Current,218955.12,2020-04-12
ACC0000031,CUST0000108,HSBC,Savings,284104.18,2023-02-16
ACC0000032,CUST0000958,Standard Chartered,Current,291598.89,2021-07-27
ACC0000033,CUST0000884,Barclays,Savings,383237.5,2021-12-13
ACC0000034,CUST0000641,Citibank,Savings,116874.04,2020-11-15
ACC0000035,CUST0000570,First Bank Nigeria,Credit,347800.59,2024-12-06
ACC0000036,CUST0001812,Citibank,Credit,223607.35,2020-07-21
ACC0000037,CUST0000516,HSBC,Savings,158221.85,2020-03-25
ACC0000038,CUST0000318,First Bank Nigeria,Credit,429377.88,2022-02-03
ACC0000039,CUST0000130,Standard Chartered,Savings,273662.64,2022-07-17
ACC0000040,CUST0001688,Citibank,Savings,293255.34,2022-09-26
ACC0000041,CUST0002665,HSBC,Current,379340.72,2022-06-07
ACC0000042,CUST0001118,JPMorgan Chase,Credit,179511.74,2019-02-04
ACC0000043,CUST0002096,UBA,Savings,153341.26,2021-12-11
ACC0000044,CUST0002250,Standard Chartered,Current,392727.83,2022-05-15
ACC0000045,CUST0000803,Citibank,Credit,428604.32,2018-03-05
ACC0000046,CUST0002303,First Bank Nigeria,Current,40146.95,2020-05-10
ACC0000047,CUST0001974,Access Bank,Savings,53828.63,2023-04-14
ACC0000048,CUST0002759,UBA,Credit,477233.65,2023-10-01
ACC0000049,CUST0000246,First Bank Nigeria,Savings,8231.76,2018-09-25
ACC0000050,CUST0001053,First Bank Nigeria,Current,232666.97,2019-08-10
ACC0000051,CUST0002067,First Bank Nigeria,Current,79566.26,2023-01-12
ACC0000052,CUST0002746,Standard Chartered,Current,221081.11,2022-08-19
ACC0000053,CUST0000314,Citibank,Savings,400125.84,2018-06-20
ACC0000054,CUST0002720,Citibank,Credit,116880.92,2022-05-19
ACC0000055,CUST0002639,Citibank,Credit,475891.52,2023-03-11
ACC0000056,CUST0000440,Access Bank,Current,23995.1,2018-05-02
ACC0000057,CUST0000126,UBA,Current,394390.02,2020-08-06
ACC0000058,CUST0002336,UBA,Savings,325941.12,2018-10-14
ACC0000059,CUST0002604,HSBC,Current,481451.46,2021-07-12
ACC0000060,CUST0000263,JPMorgan Chase,Credit,198040.27,2023-11-09
ACC0000061,CUST0002285,First Bank Nigeria,Credit,354873.83,2019-04-29
ACC0000062,CUST0002190,HSBC,Current,126683.0,2021-06-29
ACC0000063,CUST0001687,Standard Chartered,Current,209564.77,2018-03-23
ACC0000064,CUST0002761,HSBC,Credit,217906.99,2020-09-27
ACC0000065,CUST0002758,Barclays,Savings,274939.31,2019-09-25
ACC0000066,CUST0002215,JPMorgan Chase,Savings,497135.22,2020-04-11
ACC0000067,CUST0001867,HSBC,Current,401616.28,2024-11-21
ACC0000068,CUST0000557,JPMorgan Chase,Current,109577.64,2024-05-11
ACC0000069,CUST0001953,First Bank Nigeria,Credit,204268.07,2024-07-31
ACC0000070,CUST0001948,Standard Chartered,Current,395165.22,2019-05-11
ACC0000071,CUST0002532,UBA,Credit,234321.24,2024-07-16
ACC0000072,CUST0001025,Access Bank,Savings,239139.78,2024-11-21
ACC0000073,CUST0002967,UBA,Savings,35448.51,2021-12-24
ACC0000074,CUST0000179,Citibank,Current,237023.29,2020-12-07
ACC0000075,CUST0002268,Standard Chartered,Credit,267999.66,2020-08-12
ACC0000076,CUST0000444,UBA,Savings,22319.07,2019-02-22
ACC0000077,CUST0000500,Citibank,Savings,76523.79,2021-11-19
ACC0000078,CUST0000087,First Bank Nigeria,Current,213885.71,2021-02-01
ACC0000079,CUST0000902,Citibank,Savings,160178.09,2020-03-07
ACC0000080,CUST0000409,HSBC,Current,440178.93,2018-08-30
ACC0000081,CUST0002187,First Bank Nigeria,Savings,343495.49,2019-05-16
ACC0000082,CUST0002040,Access Bank,Savings,491163.89,2024-04-24
ACC0000083,CUST0000259,UBA,Credit,12193.21,2019-06-06
ACC0000084,CUST0001321,Access Bank,Savings,277423.21,2023-07-21
ACC0000085,CUST0001818,UBA,Current,50096.42,2020-07-28
ACC0000086,CUST0000668,HSBC,Credit,486856.76,2024-08-28
ACC0000087,CUST0002982,Access Bank,Credit,161649.11,2021-06-09
ACC0000088,CUST0000665,JPMorgan Chase,Savings,220857.02,2018-10-22
ACC0000089,CUST0000048,JPMorgan Chase,Credit,434443.77,2022-07-26
ACC0000090,CUST0002278,JPMorgan Chase,Current,496075.24,2019-11-30
ACC0000091,CUST0001848,Standard Chartered,Current,452682.9,2018-09-20
ACC0000092,CUST0002738,UBA,Current,8613.93,2018-11-06
ACC0000093,CUST0000075,First Bank Nigeria,Current,195502.13,2019-01-03
ACC0000094,CUST0000643,Citibank,Credit,106847.85,2022-01-16
ACC0000095,CUST0000207,Standard Chartered,Savings,376487.6,2023-02-26
ACC0000096,CUST0001779,Access Bank,Credit,306698.55,2022-06-14
ACC0000097,CUST0001030,JPMorgan Chase,Current,351410.08,2019-12-25
ACC0000098,CUST0001521,Standard Chartered,Savings,388109.0,2020-11-24
ACC0000099,CUST0000313,UBA,Savings,378683.1,2018-11-29
ACC0000100,CUST0002112,Standard Chartered,Current,262201.18,2021-12-26
ACC0000101,CUST0001118,JPMorgan Chase,Current,322252.57,2019-04-13
ACC0000102,CUST0002005,Citibank,Savings,247058.08,2020-09-08
ACC0000103,CUST0001623,UBA,Credit,430731.36,2021-03-29
ACC0000104,CUST0000408,HSBC,Current,451774.86,2019-04-01
ACC0000105,CUST0001262,HSBC,Current,54131.61,2019-01-27
ACC0000106,CUST0000545,First Bank Nigeria,Credit,169274.12,2022-10-19
ACC0000107,CUST0002436,JPMorgan Chase,Credit,243832.38,2022-09-24
ACC0000108,CUST0002973,HSBC,Credit,494507.91,2022-02-17
ACC0000109,CUST0001681,Citibank,Current,313921.78,2021-02-13
ACC0000110,CUST0001331,Access Bank,Savings,199630.92,2022-09-13
ACC0000111,CUST0001578,Citibank,Current,70979.27,2024-04-21
ACC0000112,CUST0001488,Barclays,Savings,428336.63,2022-09-19
ACC0000113,CUST0002423,Access Bank,Current,480411.63,2024-10-26
ACC0000114,CUST0001465,Citibank,Current,453601.57,2021-08-07
ACC0000115,CUST0000186,Access Bank,Savings,359449.69,2024-05-11
ACC0000116,CUST0002592,First Bank Nigeria,Savings,128396.4,2022-06-19
ACC0000117,CUST0002811,Access Bank,Current,119270.43,2023-06-02
ACC0000118,CUST0000074,Standard Chartered,Current,210392.73,2023-02-14
ACC0000119,CUST0000972,First Bank Nigeria,Credit,410341.64,2018-05-28
ACC0000120,CUST0001105,Barclays,Current,338078.08,2021-01-11
ACC0000121,CUST0000347,UBA,Credit,448755.62,2022-06-23
ACC0000122,CUST0002922,Access Bank,Current,160217.59,2020-01-14
ACC0000123,CUST0000643,Barclays,Credit,256096.33,2019-06-17
ACC0000124,CUST0001747,UBA,Credit,80335.01,2021-08-23
ACC0000125,CUST0002378,First Bank Nigeria,Current,210426.51,2018-04-23
ACC0000126,CUST0002750,First Bank Nigeria,Credit,246359.45,2019-09-06
ACC0000127,CUST0001973,Access Bank,Savings,446523.03,2019-06-25
ACC0000128,CUST0000619,JPMorgan Chase,Savings,140260.31,2020-11-05
ACC0000129,CUST0001191,HSBC,Credit,2008.64,2023-11-22
